situation,dialogue,context
Asking For Directions To Nearest Police Station,"""A: Where is the nearest police station?\nB: Two blocks ahead on Main Street.\nA: Thanks.\nB: Stay safe.""",Locating law enforcement facilities.
Asking For Help With Lost Phone,"""A: I lost my phone here.\nB: Check the lost and found office.\nA: I will, thank you.\nB: Good luck.""",Retrieving lost personal electronics.
Asking For Taxi Reservation,"""A: Can I book a taxi for 7 AM?\nB: It’s confirmed.\nA: Thank you.\nB: Safe trip.""",Scheduling early morning rides.
Asking For Directions To Airport,"""A: How do I get to the airport?\nB: Take bus number 5.\nA: Thanks.\nB: Have a good flight.""",Finding transport to airports.
Asking For Help With Flight Cancellation,"""A: My flight was cancelled. How do I get a refund?\nB: Contact our customer service.\nA: Thanks.\nB: We’ll assist you.""",Handling flight changes.
Asking For Help With Hotel Amenities,"""A: Does the hotel have a sauna?\nB: Yes, located on the third floor.\nA: Great, thank you.\nB: Enjoy your stay.""",Checking hotel facilities.
Asking For Help Booking Conference Tickets,"""A: Can you help me book tickets to the conference?\nB: Of course, how many?\nA: Two.\nB: Tickets booked.""",Purchasing event tickets.
Asking For Directions To Local Library,"""A: Where is the local library?\nB: Next to the city hall.\nA: Thanks!\nB: Enjoy reading.""",Finding public resources.
asking For Help With Lost Passport,"""A: I lost my passport. What should I do?\nB: Visit your embassy.\nA: Thank you.\nB: Stay safe.""",Replacing lost travel documents.
Asking For Help With Taxi Fare,"""A: How much is a taxi to downtown?\nB: Around $15.\nA: Thanks.\nB: Safe travels.""",Estimating transport cost.
Asking For Help With Room Temperature,"""A: It’s too cold in my room.\nB: I’ll adjust the thermostat.\nA: Thanks.\nB: Let me know if it’s better now.""",Room temperature issues.
Asking For Directions To Tourist Information Center,"""A: Where can I find tourist information?\nB: Near the city square.\nA: Thank you.\nB: Enjoy your visit.""",Locating visitor help desks.
Asking For Help With Hotel Check-out,"""A: Can I check out late?\nB: It’s possible for an extra fee.\nA: How much?\nB: $20 per hour.\nA: Thanks.""",Extending hotel stay.
Asking For Lost And Found Assistance,"""A: I lost my glasses. Where can I report?\nB: Please check lost and found.\nA: Thanks.\nB: Hope you find them.""",Recovering misplaced items.
Asking For Help With Flight Check-in,"""A: How do I check in for my flight?\nB: Use the airline’s website or app.\nA: Got it, thanks.\nB: Have a safe journey.""",Preparing for flights online.
Asking For Directions To Conference Venue,"""A: How do I get to the conference center?\nB: Take metro line 2.\nA: Thanks!\nB: Good luck with the event.""",Navigating event locations.
Asking For Help With Luggage Storage,"""A: Can I store my bags here?\nB: Yes, for $5 per day.\nA: Perfect, thanks.\nB: You’re welcome.""",Storing luggage temporarily.
Asking For Taxi Availability,"""A: Are taxis available now?\nB: Yes, two are waiting.\nA: Perfect.\nB: Have a good trip.""",Finding immediate transport.
Asking For Help With Printing Documents,"""A: Can you print my documents?\nB: How many copies?\nA: One.\nB: Here it is.""",Using hotel or business center print services.
Asking For Directions To Bus Stop,"""A: Where can I catch bus 18?\nB: Outside the mall entrance.\nA: Thanks.\nB: Safe travels.""",Finding public transport stops.
Asking For Help With Phone Charging,"""A: Can I borrow a phone charger?\nB: Yes, here you go.\nA: Thanks!\nB: You’re welcome.""",Borrowing essential accessories.
Asking For Help With Hotel Amenities,"""A: Is there a gym in the hotel?\nB: Yes, on the second floor.\nA: Great.\nB: Enjoy your workout.""",Checking fitness facilities.
Asking For Help With Lost Wallet,"""A: I lost my wallet. Where can I report it?\nB: Go to lost and found.\nA: Thanks.\nB: Good luck!""",Recovering lost valuables.
Asking For Help Booking Dinner Table,"""A: Can you reserve a table for four?\nB: Sure, for what time?\nA: 7 PM.\nB: Booked.""",Making restaurant reservations.
Asking For Directions To Beach,"""A: How do I get to the beach?\nB: Take bus number 3.\nA: Thanks.\nB: Enjoy!""",Finding recreational spots.
Asking For Help Changing Flight,"""A: Can I change my flight date?\nB: Let me check now.\nA: Thanks.\nB: Done.""",Rescheduling airline tickets.
Asking For Lost Phone Recovery,"""A: Has anyone found a lost phone?\nB: Yes, is this yours?\nA: Yes, thank you!\nB: You’re welcome.""",Recovering lost technology.
Asking For Directions To Local Market,"""A: Where is the food market?\nB: Near the main square.\nA: Thanks.\nB: Enjoy shopping!""",Locating fresh markets.
Asking For Help Making Phone Call,"""A: Can I use your phone?\nB: Of course.\nA: Thank you.\nB: No problem.""",Requesting temporary phone access.
Asking For Help With Room Temperature,"""A: The room is too hot.\nB: I’ll lower the heating.\nA: Thanks.\nB: Let me know if it’s better.""",Adjusting climate controls in accommodation.
Asking For Directions To Casino,"""A: How do I get to the casino?\nB: Take bus number 7, get off at the last stop.\nA: Thanks.\nB: Good luck!""",Finding entertainment venues.
Asking For Help With Conference Registration,"""A: How do I register for the conference?\nB: You can sign up online or on site.\nA: I’ll do it online.\nB: Great!""",Signing up for professional events.
Asking For Directions To Nearest Pharmacy,"""A: Where is the nearest pharmacy?\nB: It’s two blocks away, next to the supermarket.\nA: Thanks!\nB: You’re welcome.""",Locating medicine or health supplies.
Asking For Help With Lost Luggage,"""A: My luggage didn’t arrive. What should I do?\nB: Please fill out a lost baggage claim.\nA: Okay, thank you.\nB: We’ll assist you.""",Reporting missing baggage at airport.
Booking A Taxi For Morning Airport Drop,"""A: Can I book a taxi for 5 AM to the airport?\nB: Yes, your booking is confirmed.\nA: Thanks.\nB: Safe travels.""",Scheduling airport transportation.
Asking For Wi-Fi Password At Hotel,"""A: What’s the Wi-Fi password?\nB: It’s 'Welcome2025'.\nA: Thanks!\nB: Enjoy your stay.""",Accessing hotel internet services.
Asking For Help Changing Flight Date,"""A: Can I change my flight date?\nB: Let me check availability.\nA: Thanks.\nB: Your flight is rescheduled.""",Altering travel plans.
Asking For Directions To Train Station,"""A: How do I get to the train station?\nB: Take bus number 11.\nA: Thank you.\nB: Safe trip.""",Finding public transit routes.
Asking For Help With Food Delivery,"""A: I want to order food delivery.\nB: What would you like?\nA: A large margherita pizza, please.\nB: Your order is confirmed.""",Ordering meals remotely.
Asking For Lost And Found Location,"""A: Where is lost and found?\nB: Near the information desk.\nA: Thanks!\nB: Hope you find your item.""",Recovering lost possessions.
Asking For Taxi Fare Estimate,"""A: How much is a taxi to downtown?\nB: About $15.\nA: Thanks.\nB: Have a good trip.""",Estimating transport fees.
Asking For Early Check-in Accommodation,"""A: Can I check in early?\nB: It’s subject to availability.\nA: Please check.\nB: Your room is ready now.""",Requesting early hotel check-in.
Asking For Directions To Airport Shuttle,"""A: Where do I catch the airport shuttle?\nB: Outside the main entrance.\nA: Thanks.\nB: Safe flight.""",Locating transport to airports.
Asking For Help With Lost Luggage Claim,"""A: My luggage hasn’t arrived.\nB: Please fill out this form.\nA: Thank you.\nB: We will track it for you.""",Reporting baggage issues.
Asking For Directions To Downtown,"""A: How do I get downtown?\nB: Take bus number 6.\nA: Thanks.\nB: Enjoy your visit.""",Finding city centers.
Asking For Help With Phone Issues,"""A: My phone isn’t working.\nB: Try restarting it.\nA: It worked, thanks!\nB: Glad to help.""",Troubleshooting devices.
Asking For Hotel Amenities,"""A: Does the hotel have a spa?\nB: Yes, it’s open 8 AM to 8 PM.\nA: Great.\nB: Enjoy your visit.""",Confirming hotel services.
Asking For Late Check-out Fees,"""A: How much for late check-out?\nB: $30 per hour.\nA: Thank you.\nB: You’re welcome.""",Understanding extended stay charges.
Asking For Directions Inside Airport,"""A: Where is gate 20?\nB: Down the hall, turn left.\nA: Thanks.\nB: Safe flight.""",Navigating airports.
Asking For Help Finding Lost Phone,"""A: Has any lost phone been found?\nB: Yes, is this yours?\nA: Yes, thanks!\nB: Glad to help.""",Retrieving lost phones.
Asking For Directions To Museum,"""A: How do I get to the museum?\nB: Bus number 12 goes there.\nA: Thanks!\nB: Enjoy the exhibition.""",Visiting museums and exhibits.
Asking For Help With Hotel Wi-Fi,"""A: Wi-Fi isn’t working in my room.\nB: I’ll send someone to fix it.\nA: Thanks.\nB: Anytime.""",Solving connectivity issues.
Asking For Directions To Taxi Stand,"""A: Where is the taxi stand?\nB: Outside the hotel entrance.\nA: Thanks.\nB: Have a nice trip.""",Finding taxi pickup points.
Asking For Help Booking Conference Room,"""A: Is conference room 101 available?\nB: Yes, when?\nA: 3 PM.\nB: Booked.""",Reserving spaces for meetings.
Asking For Help Printing Documents,"""A: Can you print this document?\nB: How many copies?\nA: Two.\nB: Here you go.""",Using business center services.
Asking For Help Booking Taxi,"""A: Can I book a taxi for 9 PM?\nB: Yes, it’s confirmed.\nA: Thank you.\nB: Have a good trip.""",Scheduling transport.
Asking For Directions To Hotel,"""A: How do I get to the Marriott?\nB: Take metro line 3.\nA: Thanks!\nB: Enjoy your stay.""",Locating accommodations.
Asking For Help With Flight Check-in,"""A: How do I check in online?\nB: Visit the airline’s website.\nA: Done, thanks.\nB: Have a safe flight.""",Preparing for flights digitally.
Asking For Help With Lost Passport,"""A: I lost my passport. Where can I get help?\nB: Visit your embassy immediately.\nA: Thanks.\nB: Stay safe.""",Handling lost travel documents.
Asking For Help Weighing Luggage,"""A: How heavy is my bag?\nB: It’s 22 kilograms.\nA: Within limit, thanks.\nB: Enjoy your flight.""",Checking baggage weight.
Asking For Directions To Conference Center,"""A: Where is the conference center?\nB: On 5th Avenue.\nA: Thanks.\nB: Good luck with your presentation.""",Getting to event locations.
Asking For Table Reservation,"""A: I’d like to reserve a table for four.\nB: What time?\nA: 7 PM.\nB: Booked.""",Planning restaurant visits.
Asking For Help With Room Temperature,"""A: It’s too cold in the room.\nB: I’ll raise the thermostat.\nA: Thank you.\nB: Let me know if it’s better.""",Adjusting hotel room climate.
Asking For Parking Fee Information,"""A: How much is parking?\nB: $10 per day.\nA: Thanks.\nB: You’re welcome.""",Understanding parking charges.
Asking For Help With Lost Item Report,"""A: I lost my sunglasses.\nB: Please fill out the lost and found form.\nA: Thanks.\nB: Hope you find it.""",Reporting lost possessions.
Asking For Help With Food Recommendations,"""A: What local dishes do you recommend?\nB: Trypaellaandtapas.\nA: Sounds great!\nB: Enjoy!""",Experiencing traditional cuisine.
Asking For Taxi Fare Estimate,"""A: How much to the airport?\nB: About $25.\nA: Thanks.\nB: Safe flight.""",Estimating taxi costs.
Asking For Assistance With Hotel Check-out,"""A: Can I have late check-out?\nB: Yes, for an extra fee.\nA: How much?\nB: $20 per hour.\nA: Thanks.""",Arranging extended hotel stays.
Asking For Directions To Local Food Market,"""A: Where is the farmer’s market?\nB: Every Saturday near the town square.\nA: Thanks.\nB: Enjoy your shopping.""",Locating food markets.
Asking For Help With Lost Phone,"""A: I lost my phone. Can you help?\nB: Let’s check the lost and found.\nA: Thanks.\nB: I hope we find it.""",Recovering lost devices.
Asking For Help With Flight Reschedule,"""A: Can I change my flight?\nB: Let me check.\nA: Thanks.\nB: Your flight is rescheduled for next week.""",Changing flight dates.
Asking For Directions To Tourist Information Booth,"""A: Where is the tourist info?\nB: Next to the city library.\nA: Thanks.\nB: Have a great visit.""",Finding visitor help desks.
Asking For Help With Printing Boarding Pass,"""A: Can you print my boarding pass?\nB: Yes, how many copies?\nA: One.\nB: Here it is.""",Preparing travel documentation.
Asking For Help Booking Restaurant Table,"""A: Can I reserve a table for tonight?\nB: How many people?\nA: Four.\nB: Booked.""",Making dining reservations.
Asking For Help With Taxi Booking,"""A: Can you book a taxi for 8 PM?\nB: Done.\nA: Thanks.\nB: Safe travels.""",Scheduling rides.
Asking For Directions At Mall,"""A: Where is the electronics store?\nB: Near the escalator.\nA: Thanks.\nB: Enjoy shopping.""",Navigating malls.
Asking For Help With Lost Passport,"""A: I lost my passport.\nB: Report to embassy immediately.\nA: Thank you.\nB: Stay safe.""",Managing lost travel ID.
Asking About Taxi Rates,"""A: What’s the fare to downtown?\nB: Around $12.\nA: Thanks.\nB: Have a good trip.""",Calculating travel costs.
Asking For Help With Lost Luggage,"""A: My bag is missing.\nB: Fill out this form.\nA: Thanks.\nB: We’ll find it.""",Reporting lost bags.
Asking For Hotel Room Upgrade,"""A: Can I upgrade my room?\nB: Suites are available.\nA: I’d like one.\nB: Your room is upgraded.""",Requesting better rooms.
Asking For Help With Flight Check-in,"""A: How do I check in?\nB: Go online or at the counter.\nA: Ok, thanks.\nB: Have a safe flight.""",Preparing for airport check-ins.
Asking For Help With Lost Items,"""A: I lost my watch.\nB: Check lost and found.\nA: Will do.\nB: Hope you find it.""",Searching for lost belongings.
Asking For Directions To City Library,"""A: Where is the library?\nB: Near the post office.\nA: Thank you.\nB: Happy reading.""",Locating educational public places.
